płeć,wiek,kierunek_wykształcenia,poziom_wykształcenia,Źródło,Student,Trans
Male,25-29,Other,Master’s degree,Kaggle 2018,NA,NA
Male,25-29,Engineering (non-computer focused),Doctoral degree,Kaggle 2018,NA,NA
Male,40-44,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Female,25-29,"Computer science (software engineering, etc.)",Some college/university study without earning a bachelor’s degree,Kaggle 2018,NA,NA
Male,22-24,"Computer science (software engineering, etc.)",Bachelor’s degree,Kaggle 2018,NA,NA
Male,30-34,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,25-29,"Computer science (software engineering, etc.)",Doctoral degree,Kaggle 2018,NA,NA
Male,40-44,"Medical or life sciences (biology, chemistry, medicine, etc.)",Master’s degree,Kaggle 2018,NA,NA
Female,22-24,"A business discipline (accounting, economics, finance, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,25-29,Mathematics or statistics,Master’s degree,Kaggle 2018,NA,NA
Male,22-24,"Information technology, networking, or system administration",Bachelor’s degree,Kaggle 2018,NA,NA
Male,30-34,Environmental science or geology,Master’s degree,Kaggle 2018,NA,NA
Male,25-29,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Female,22-24,Engineering (non-computer focused),Master’s degree,Kaggle 2018,NA,NA
Female,35-39,Physics or astronomy,Master’s degree,Kaggle 2018,NA,NA
Male,35-39,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,35-39,"Computer science (software engineering, etc.)",Some college/university study without earning a bachelor’s degree,Kaggle 2018,NA,NA
Male,25-29,Physics or astronomy,Master’s degree,Kaggle 2018,NA,NA
Prefer not to say,25-29,"A business discipline (accounting, economics, finance, etc.)",Master’s degree,Kaggle 2018,NA,NA
Female,45-49,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Female,25-29,"Social sciences (anthropology, psychology, sociology, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,30-34,"A business discipline (accounting, economics, finance, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,35-39,"Computer science (software engineering, etc.)",Bachelor’s degree,Kaggle 2018,NA,NA
Male,40-44,Engineering (non-computer focused),Doctoral degree,Kaggle 2018,NA,NA
Female,25-29,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,35-39,"Computer science (software engineering, etc.)",Bachelor’s degree,Kaggle 2018,NA,NA
Male,30-34,Mathematics or statistics,Master’s degree,Kaggle 2018,NA,NA
Male,30-34,"Computer science (software engineering, etc.)",Bachelor’s degree,Kaggle 2018,NA,NA
Male,40-44,Engineering (non-computer focused),Doctoral degree,Kaggle 2018,NA,NA
Male,30-34,Mathematics or statistics,Master’s degree,Kaggle 2018,NA,NA
Male,25-29,"A business discipline (accounting, economics, finance, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,30-34,"Computer science (software engineering, etc.)",Doctoral degree,Kaggle 2018,NA,NA
Male,35-39,"Information technology, networking, or system administration",Master’s degree,Kaggle 2018,NA,NA
Male,18-21,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Female,35-39,Environmental science or geology,Master’s degree,Kaggle 2018,NA,NA
Male,25-29,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,45-49,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,22-24,Other,Master’s degree,Kaggle 2018,NA,NA
Male,40-44,"Humanities (history, literature, philosophy, etc.)",Doctoral degree,Kaggle 2018,NA,NA
Male,25-29,"A business discipline (accounting, economics, finance, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,25-29,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,30-34,"Computer science (software engineering, etc.)",Bachelor’s degree,Kaggle 2018,NA,NA
Male,25-29,"Computer science (software engineering, etc.)",Bachelor’s degree,Kaggle 2018,NA,NA
Male,25-29,"Computer science (software engineering, etc.)",Doctoral degree,Kaggle 2018,NA,NA
Male,35-39,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,35-39,Mathematics or statistics,Doctoral degree,Kaggle 2018,NA,NA
Male,22-24,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,35-39,Physics or astronomy,Bachelor’s degree,Kaggle 2018,NA,NA
Male,30-34,"Social sciences (anthropology, psychology, sociology, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,18-21,"Computer science (software engineering, etc.)",Bachelor’s degree,Kaggle 2018,NA,NA
Prefer not to say,50-54,Engineering (non-computer focused),Doctoral degree,Kaggle 2018,NA,NA
Male,40-44,Physics or astronomy,Doctoral degree,Kaggle 2018,NA,NA
Female,50-54,Mathematics or statistics,Master’s degree,Kaggle 2018,NA,NA
Female,25-29,"A business discipline (accounting, economics, finance, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,25-29,Mathematics or statistics,Bachelor’s degree,Kaggle 2018,NA,NA
Female,30-34,"A business discipline (accounting, economics, finance, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,25-29,"Computer science (software engineering, etc.)",I prefer not to answer,Kaggle 2018,NA,NA
Female,25-29,Mathematics or statistics,Master’s degree,Kaggle 2018,NA,NA
Female,30-34,Engineering (non-computer focused),Doctoral degree,Kaggle 2018,NA,NA
Male,22-24,"Information technology, networking, or system administration",Master’s degree,Kaggle 2018,NA,NA
Male,30-34,Mathematics or statistics,Professional degree,Kaggle 2018,NA,NA
Male,22-24,"Computer science (software engineering, etc.)",Bachelor’s degree,Kaggle 2018,NA,NA
Male,25-29,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,35-39,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Female,35-39,"A business discipline (accounting, economics, finance, etc.)",Doctoral degree,Kaggle 2018,NA,NA
Male,50-54,"Medical or life sciences (biology, chemistry, medicine, etc.)",Master’s degree,Kaggle 2018,NA,NA
Female,22-24,Engineering (non-computer focused),Master’s degree,Kaggle 2018,NA,NA
Male,25-29,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,22-24,"Humanities (history, literature, philosophy, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,30-34,"Information technology, networking, or system administration",Some college/university study without earning a bachelor’s degree,Kaggle 2018,NA,NA
Male,30-34,"A business discipline (accounting, economics, finance, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,40-44,"Information technology, networking, or system administration",Master’s degree,Kaggle 2018,NA,NA
Female,25-29,Physics or astronomy,Doctoral degree,Kaggle 2018,NA,NA
Male,30-34,Physics or astronomy,Doctoral degree,Kaggle 2018,NA,NA
Female,35-39,Mathematics or statistics,Doctoral degree,Kaggle 2018,NA,NA
Male,18-21,Mathematics or statistics,Some college/university study without earning a bachelor’s degree,Kaggle 2018,NA,NA
Male,22-24,"Information technology, networking, or system administration",Master’s degree,Kaggle 2018,NA,NA
Male,30-34,Mathematics or statistics,Master’s degree,Kaggle 2018,NA,NA
Male,22-24,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,30-34,"Computer science (software engineering, etc.)",Doctoral degree,Kaggle 2018,NA,NA
Male,35-39,Environmental science or geology,Doctoral degree,Kaggle 2018,NA,NA
Male,55-59,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,35-39,Mathematics or statistics,Doctoral degree,Kaggle 2018,NA,NA
Male,40-44,"Computer science (software engineering, etc.)",Doctoral degree,Kaggle 2018,NA,NA
Male,22-24,"Social sciences (anthropology, psychology, sociology, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,45-49,"A business discipline (accounting, economics, finance, etc.)",Master’s degree,Kaggle 2018,NA,NA
Female,30-34,"Social sciences (anthropology, psychology, sociology, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,30-34,"A business discipline (accounting, economics, finance, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,30-34,NA,No formal education past high school,Kaggle 2018,NA,NA
Male,22-24,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,22-24,Mathematics or statistics,Master’s degree,Kaggle 2018,NA,NA
Male,25-29,Physics or astronomy,Master’s degree,Kaggle 2018,NA,NA
Male,25-29,"Computer science (software engineering, etc.)",Doctoral degree,Kaggle 2018,NA,NA
Male,25-29,"A business discipline (accounting, economics, finance, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,22-24,Engineering (non-computer focused),Master’s degree,Kaggle 2018,NA,NA
Male,30-34,Physics or astronomy,Doctoral degree,Kaggle 2018,NA,NA
Female,22-24,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,25-29,"Information technology, networking, or system administration",Master’s degree,Kaggle 2018,NA,NA
Male,25-29,Engineering (non-computer focused),Doctoral degree,Kaggle 2018,NA,NA
Male,18-21,"Computer science (software engineering, etc.)",Bachelor’s degree,Kaggle 2018,NA,NA
